scenario_id,scenario_type,description,preferred_action,expected_outcome
SC-001,demand_surge,Air Max 270 Black shows 85% sales spike in North America after NBA Finals social media campaign,Increase replenishment order by 60% from Guangzhou Footwear Co; expedite shipping from Memphis DC to all NA sub-regions,Stockout avoided; 95% fill rate maintained; incremental revenue of $2.1M captured
SC-002,demand_surge,Nike Dri-FIT Running Shirt Women surges 120% in Europe during marathon season,Reallocate 8000 units from Rotterdam to Barcelona DC; trigger emergency PO to Saigon Premium Fabrics,Demand met within 5 days; no lost sales; supplier lead time met within variability window
SC-003,demand_surge,LeBron XXI Basketball Shoes spike 200% in Asia Pacific following product launch event,Activate secondary supplier Hanoi Shoe Manufacturing; airfreight 5000 units from LA Distribution Center,Service level maintained above 90%; incremental freight cost offset by revenue uplift
SC-004,demand_surge,Kids Air Max Runner sees +150% spike in North America before back-to-school season,Pre-build inventory 6 weeks ahead using AI forecast signals; coordinate with Monterrey Footwear Manufacturing for buffer stock,Zero stockout events; promotional commitment fulfilled; forecast accuracy improves to 0.94
SC-005,demand_surge,Nike Tech Fleece Joggers trend goes viral on TikTok with 1200% search spike,Prioritize production allocation at Jakarta Apparel Works; hold back Wholesale channel units for DTC fulfillment,DTC revenue protected; wholesale backorder managed within 2-week SLA
SC-006,demand_surge,Nike Sportswear Hoodie demand surges 90% in Europe due to cold weather event,Emergency transfer 6000 units from Memphis DC to Rotterdam DC via ocean freight,Stockout risk reduced from 95% to 15%; customer satisfaction maintained
SC-007,demand_surge,Nike Pegasus Running Shoes spike 75% during January fitness resolution season,Scale up Hanoi Shoe Manufacturing by 30% capacity; increase safety stock to 8000 units,Demand fully absorbed; no markdown required; NPS score maintained
SC-008,demand_surge,Nike Training Shorts see +180% spike in Asia Pacific ahead of regional sports tournament,Rebalance inventory from Denver DC excess stock to LA Distribution Center; airfreight 3000 units,Tournament window fulfilled; zero lost sales; excess Denver inventory reduced by 40%
SC-009,inventory_imbalance,"Memphis DC has 45000 units of Nike Sportswear Hoodie (overstock, 90 days of supply) while Atlanta DC has only 1200 units (3 days of supply)",Transfer 15000 units from Memphis to Atlanta DC; reduce next replenishment order by equivalent quantity,"Days of supply normalized to 25-35 across both DCs; carrying cost reduced by $28,500"
SC-010,inventory_imbalance,Rotterdam DC holds 38000 units of Air Max 270 White exceeding max stock level by 52%,Halt incoming POs for 6 weeks; redirect 12000 units to Barcelona DC; negotiate markdown with Wholesale channel,"Inventory normalized within 8 weeks; carrying cost savings of $42,000; overstock liquidated at 12% markdown"
SC-011,inventory_imbalance,All NA distribution centers below safety stock for LeBron XXI Basketball Shoes simultaneously,Activate air freight from Guangzhou Footwear Co for 10000 units; draw down safety stock buffer with executive approval,Critical stockout avoided; 4-day replenishment achieved; service level restored to 96%
SC-012,inventory_imbalance,"Nike Dri-FIT Running Shirt Men excess of 55000 units split unevenly: 40000 in LA, 15000 in Denver",Rebalance 18000 units from LA to Memphis and Atlanta; defer next production run by 3 weeks,Carrying cost reduced across network; days of supply equalized to 38 days; no markdown needed
SC-013,inventory_imbalance,Barcelona DC stockout for Nike Training Shorts with 0 units in transit and 65-day supplier lead time,Emergency inter-DC transfer from Rotterdam (8000 units); air upgrade for next supplier shipment,"Stockout duration limited to 4 days; service level recovers to 91%; expedite cost $18,000"
SC-014,inventory_imbalance,Kids Air Max Runner overstock across all Europe DCs with average 95 days of supply,Initiate promotional pricing in Marketplace channel; reduce weekly replenishment by 70%; redirect production to NA,"Inventory normalized to 45 days in 10 weeks; markdown cost $95,000; avoids obsolescence write-off of $420,000"
SC-015,supplier_disruption,Dhaka Textiles Ltd reports 35-day production halt due to flooding; affects Apparel category supply,Shift 60% of apparel orders to Chennai Textile Group and Saigon Premium Fabrics; activate safety stock,Supply continuity maintained; 8% cost increase absorbed; no customer-facing stockouts
SC-016,supplier_disruption,Guangzhou Footwear Co utilization at 98% with 55-day lead time; quality score drops to 3.8,Dual-source with Hanoi Shoe Manufacturing for 40% of footwear volume; quality audit triggered,Lead time normalized to 32 days within 6 weeks; quality scores return to 4.3; no product recalls
SC-017,supplier_disruption,Monterrey Footwear Manufacturing compliance rating drops to 0.64 due to labor audit findings,Suspend new POs; redistribute volume to Hanoi Shoe Manufacturing and Guangzhou Footwear Co,Production continuity maintained; compliance issue resolved in 8 weeks; no brand risk materialized
SC-018,supplier_disruption,Jakarta Apparel Works CO2 per unit spikes to 7.2 kg due to energy mix change; exceeds sustainability threshold,Issue sustainability improvement notice; require green energy plan within 30 days; partial order redirect to Chennai Textile Group,CO2 footprint reduced to 4.8 kg/unit within 45 days; sustainability KPI maintained; supplier retained
SC-019,supplier_disruption,Saigon Premium Fabrics weekly capacity drops 40% due to port congestion and labor shortage,Increase order frequency from Chennai Textile Group; pre-position 6 weeks of safety stock before disruption window,Net supply impact reduced to 8%; no customer-visible disruption; buffer stock absorbs shortfall
SC-020,supplier_disruption,Chennai Textile Group cost per unit increases 28% due to raw material inflation,Re-negotiate contract with 18-month volume commitment; evaluate Dhaka Textiles Ltd as price alternative,Unit cost increase capped at 14%; gross margin preserved within 1.2% of target; supplier relationship maintained
SC-021,demand_surge,Air Max 270 Black demand surge of 90% detected in Europe; agent decides to reduce inventory as forecast model shows declining trend,Incorrect: Do not reduce inventory during confirmed demand surge; should increase replenishment and reallocate from NA surplus,Stockout occurs within 6 days; lost revenue of $1.8M; customer satisfaction drops 22 NPS points
SC-022,inventory_imbalance,Rotterdam DC at 92 days of supply for Nike Tech Fleece Joggers; agent decides to place additional replenishment order,Incorrect: No new PO should be placed during overstock; should halt orders and initiate inter-DC transfer or markdown,"Overstock increases to 130 days of supply; carrying cost increases $67,000; markdown required at 25% discount"
SC-023,supplier_disruption,Guangzhou Footwear Co shows 96% utilization and 52-day lead time; agent decides to increase order volume by 40%,Incorrect: Increasing orders to a capacity-constrained supplier worsens lead time; should dual-source immediately,"Lead time extends to 71 days; service level drops to 68%; emergency airfreight cost of $340,000 incurred"
SC-024,demand_surge,Nike Pegasus Running Shoes demand surge 65% in North America; agent transfers from Europe DCs instead of expediting supplier,Acceptable but sub-optimal: Inter-DC transfer works but depletes Europe safety stock; preferred action is to expedite supplier AND transfer,North America demand met but Europe safety stock falls below threshold; risk window of 12 days created
SC-025,inventory_imbalance,Denver DC overstock of 42000 units for Nike Sportswear Hoodie; agent initiates markdown at 20% discount,Acceptable: Markdown resolves overstock but at financial cost; preferred action is inter-DC transfer first,"Inventory normalized in 5 weeks; markdown cost $84,000; preferred transfer option would have saved $61,000"
SC-026,supplier_disruption,Jakarta Apparel Works lead time extends to 48 days; agent increases safety stock to 12 weeks,Acceptable: Safety stock buffer works short-term but ties up capital; preferred action is to qualify alternate supplier in parallel,"No stockout occurs; working capital increases $420,000; preferred dual-sourcing would cost $95,000 less"
SC-027,demand_surge,Simultaneous demand surge across all 10 Nike products during Super Bowl weekend; forecast system did not predict magnitude,Prioritize by revenue impact and days of supply; reallocate from slowest-moving DCs; activate all supplier emergency protocols,Top 5 revenue SKUs fully fulfilled; 3 SKUs experience brief 2-3 day stockout; total revenue impact minimized to 4%
SC-028,inventory_imbalance,Network-wide imbalance: 6 of 6 DCs show either overstock or stockout simultaneously across 8 SKUs,Execute systematic rebalancing matrix: identify donor DCs and recipient DCs; prioritize highest stockout risk first,"Full rebalancing completed in 14 days; carrying costs reduced $180,000; service level restored to 94%"
SC-029,supplier_disruption,"Three suppliers simultaneously disrupted: Dhaka flooding, Guangzhou capacity, Jakarta compliance",Activate tier-2 supplier contingency plan; air freight critical SKUs; accept 15% unit cost premium for 8-week window,Supply continuity maintained for top 80% of revenue SKUs; 20% experience controlled backorder; cost premium $1.2M
SC-030,demand_surge,AI forecast signals 300% demand spike for LeBron XXI 3 weeks before NBA playoff but confidence score is 0.72,Partial hedge: increase safety stock by 40% only; do not commit full production run until confidence score exceeds 0.88,"Demand spike confirmed at 210%; partial hedge captures 78% of upside; inventory investment of $380,000 justified"
